Clasificacion,Nombre Local,Distribuición,Pagina Web
Pescados y mariscos,Fresco Delivery,"Las Condes, Ñuñoa, Providencia, Santiago Centro y Vitacura",https://www.instagram.com/fresco_delivery/
Pescados y mariscos,Fresh4u,"Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.fruitshop.cl/
Pescados y mariscos,Mar Jano,"Cerrillos, Cerro Navia, Chicureo, Conchali, El Bosque, Estación Central, Huechuraba, Independencia, La Cisterna, La Florida, La Granja, La Pintana, La Reina, Las Condes, Lo Barnechea, Lo Espejo, Lo Prado, Macul, Maipu, Ñuñoa, Peñalolén, Providencia, Pudahuel, Puente Alto, Quilicura, Quinta Normal, Recoleta, Renca, San Bernardo, San Joaquín, San Miguel, San Ramón, Santiago y Vitacura.",https://www.marjano.cl/
Pescados y mariscos,Mr. Frozen,A toda la Región Metropolitana,https://www.instagram.com/mrfrozencl/
Pescados y mariscos,Pescado Sin Querer,"Colina, La Reina, Las Condes, Lo Barnechea, Macul, Ñuñoa, Providencia y Vitacura",https://www.pescadosinquerer.cl/
Pescados y mariscos,Productos Caleuche,"La Florida, La Reina, Las Condes, Lo Barnechea, Macul, Ñuñoa, Peñalolén y Providencia.",https://www.instagram.com/productoscaleuche
Pescados y mariscos,Ri-K Food,A toda la Región Metropolitana,https://www.rikfood.cl/
Pescados y mariscos,Sea Delik,"Las Condes, Lo Barnechea, Ñuñoa, Providencia, Santiago y Vitacura",https://www.instagram.com/seadelik/
Pescados y mariscos,South Andes Food Service,A toda la Región Metropolitana,https://www.instagram.com/south_andes/
Pescados y mariscos,Tres Puntas,A toda la Región Metropolitana,https://static.emol.cl/emol50/documentos/archivos/2020/03/28/file_20200328182712.pdf
Carnes,Aprocar,A toda la Región Metropolitana,https://static.emol.cl/emol50/documentos/archivos/2020/03/28/file_20200328113532.pdf
Carnes,Azador,"La Florida La Reina, las Condes, Macul, Ñuñoa, Providencia, Puente Alto y Vitacura",http://www.azador.cl/
Carnes,Carnes Doña Dilia,"La Reina, Las Condes, Lo Barnechea, Peñalolén, Providencia y Vitacura",https://www.instagram.com/carnesdonadilia/
Carnes,Conejo Feliz,A toda la Región Metropolitana,http://www.conejofeliz.cl/
Carnes,Corrales del Sur,"La Florida, La Reina, Las Condes, Lo Barnechea, Macul, Ñuñoa, Peñalolén, Providencia, Santiago, San Joaquín, San Miguel y Vitacura",http://www.corralesdelsur.cl/
Carnes,Costillas y Punto,"La Florida, La Reina, Las Condes, Macul, Ñuñoa, Providencia, Puente Alto y Santiago",https://costillas-punto.myshopify.com/collections/all
Carnes,Curacaribs,A toda la Región Metropolitana,https://www.curacaribs.cl/#express
Carnes,Emporio Austral,A toda la Región Metropolitana,http://www.emporioaustral.com/
Carnes,La Manresa,A toda la Región Metropolitana,https://lamanresa.cl/categoria-producto/ofertas-promociones-o-saldos/
Carnes,La Modelo,"Cerrillos, Cerro Navia, Conchalí, El Bosque, Estación entral, Huechuraba, Independencia, La Cisterna, La Florida, La Reina, Las Condes, Lo Barnechea Macul, Maipú, Ñuñoa, Pedro Aguirre Cerda, Peñalolén, Providencia, Quilicura, Quinta Normal, Recoleta, Renca, San Miguel, Santiago y Vitacura.",https://lamanresa.cl/categoria-producto/ofertas-promociones-o-saldos/
Carnes,Los Colonos del Norte,A toda la Región Metropolitana,http://www.loscolonosdelnorte.cl/
Carnes,Manada Chile,"Colina, La Florida, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Peñalolén, Providencia, Santiago y Vitacura",https://carnesmanada.com/
Carnes,MCarnes,"Cerrillos, Huechuraba, Maipú, Pudahuel, Quinta Normal y Cerrillos",https://www.facebook.com/mcarnesmora/
Carnes,Meat Me: Club de carnes,A toda la Región Metropolitana,https://www.meatme.cl/
Carnes,Parrilleros La Ligua,"La Reina, Las Condes, Lo Barnechea, Ñuñoa y Vitacura",https://parrilleroslaligua.cl/
Carnes,Todos los Santos,A toda la Región Metropolitana,https://agts.cl/
Cecinas y charcutería,Bruno Salumeria,"La Reina, Las Condes, Ñuñoa, Providencia y Vitacura",https://www.instagram.com/brunosalumeria/
Cecinas y charcutería,Cecinas Braunau,"Cerrillos, Independencia, Las Condes, Lo Barnechea, Ñuñoa, Recoleta, Santiago y Vitacura",https://www.cecinasbraunau.cl/
Cecinas y charcutería,El Fiambre del Negro,"Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.instagram.com/elfiambredelnegro/
Cecinas y charcutería,Las Bellotas de Extremadura,A toda la Región Metropolitana,https://www.lasbellotas.cl/
Cecinas y charcutería,La Jamonería,"Las Condes, Lo Barnechea y Vitacura",https://www.lajamoneria.cl/
Cecinas y charcutería,La Rotisería,"A toda la Región Metropolitana, excepto Padre Hurtado y Pirque.",https://www.larotiseria.cl/
