,Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,Tasa
78,Valparaiso,5.0,Putaendo,5705.0,17645.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,28.3
79,Valparaiso,5.0,Quillota,5501.0,97572.0,6.0,7.0,9.0,9.0,13.0,13.0,16.0,18.0,19.0,20.0,22.0,22.5
80,Valparaiso,5.0,Quilpue,5801.0,167085.0,11.0,10.0,11.0,12.0,15.0,18.0,20.0,21.0,22.0,27.0,30.0,18.0
81,Valparaiso,5.0,Quintero,5107.0,36135.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,6.0,16.6
82,Valparaiso,5.0,Rinconada,5303.0,11263.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,17.8
83,Valparaiso,5.0,San Antonio,5601.0,96761.0,0.0,4.0,8.0,9.0,9.0,13.0,17.0,19.0,28.0,34.0,46.0,47.5
84,Valparaiso,5.0,San Esteban,5304.0,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.8
85,Valparaiso,5.0,San Felipe,5701.0,83494.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.2
86,Valparaiso,5.0,Santa Maria,5706.0,16367.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,12.2
87,Valparaiso,5.0,Santo Domingo,5606.0,11934.0,,0.0,0.0,0.0,5.0,5.0,5.0,10.0,11.0,12.0,17.0,142.5
88,Valparaiso,5.0,Valparaiso,5101.0,315732.0,16.0,26.0,23.0,26.0,36.0,39.0,44.0,45.0,51.0,59.0,67.0,21.2
89,Valparaiso,5.0,Villa Alemana,5804.0,139310.0,6.0,8.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,10.0
90,Valparaiso,5.0,Vina del Mar,5109.0,361371.0,29.0,38.0,47.0,53.0,66.0,69.0,72.0,75.0,84.0,94.0,103.0,28.5
91,Valparaiso,5.0,Zapallar,5405.0,7994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Valparaiso,5.0,Total,,1960170.0,102.0,136.0,176.0,198.0,225.0,241.0,273.0,299.0,345.0,390.0,455.0,23.2
93,,,,,,,,,,,,,,,,,
94,Metropolitana,13.0,Alhue,13502.0,7405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Metropolitana,13.0,Buin,13402.0,109641.0,7.0,8.0,14.0,20.0,20.0,29.0,36.0,40.0,43.0,47.0,53.0,48.3
96,Metropolitana,13.0,Calera de Tango,13403.0,28525.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,10.0,11.0,14.0,15.0,52.6
97,Metropolitana,13.0,Cerrillos,13102.0,88956.0,0.0,4.0,4.0,5.0,11.0,21.0,29.0,39.0,48.0,53.0,66.0,74.2
98,Metropolitana,13.0,Cerro Navia,13103.0,142465.0,19.0,21.0,26.0,31.0,36.0,42.0,57.0,65.0,79.0,99.0,118.0,82.8
99,Metropolitana,13.0,Colina,13301.0,180353.0,32.0,39.0,47.0,50.0,62.0,66.0,74.0,77.0,81.0,90.0,95.0,52.7
100,Metropolitana,13.0,Conchali,13104.0,139195.0,14.0,18.0,22.0,32.0,38.0,47.0,52.0,56.0,64.0,80.0,98.0,70.4
101,Metropolitana,13.0,Curacavi,13503.0,36430.0,5.0,5.0,5.0,8.0,9.0,10.0,13.0,14.0,14.0,14.0,15.0,41.2
102,Metropolitana,13.0,El Bosque,13105.0,172000.0,18.0,28.0,35.0,37.0,46.0,64.0,83.0,93.0,107.0,127.0,145.0,84.3
103,Metropolitana,13.0,El Monte,13602.0,40014.0,0.0,0.0,0.0,5.0,7.0,9.0,10.0,10.0,12.0,12.0,13.0,32.5
104,Metropolitana,13.0,Estacion Central,13106.0,206792.0,16.0,22.0,25.0,36.0,41.0,61.0,71.0,89.0,101.0,120.0,162.0,78.3
105,Metropolitana,13.0,Huechuraba,13107.0,112528.0,17.0,19.0,22.0,32.0,35.0,38.0,48.0,53.0,59.0,66.0,77.0,68.4
106,Metropolitana,13.0,Independencia,13108.0,142065.0,15.0,17.0,22.0,26.0,31.0,37.0,52.0,60.0,80.0,115.0,196.0,138.0
107,Metropolitana,13.0,Isla de Maipo,13603.0,40171.0,0.0,0.0,0.0,4.0,7.0,10.0,10.0,11.0,11.0,11.0,11.0,27.4
108,Metropolitana,13.0,La Cisterna,13109.0,100434.0,10.0,12.0,12.0,20.0,26.0,34.0,39.0,45.0,47.0,61.0,73.0,72.7
109,Metropolitana,13.0,La Florida,13110.0,402433.0,43.0,58.0,67.0,91.0,103.0,126.0,165.0,176.0,211.0,231.0,282.0,70.1
110,Metropolitana,13.0,La Granja,13111.0,122557.0,5.0,8.0,16.0,24.0,26.0,36.0,46.0,51.0,60.0,69.0,80.0,65.3
111,Metropolitana,13.0,La Pintana,13112.0,189335.0,0.0,10.0,13.0,18.0,25.0,39.0,55.0,70.0,88.0,107.0,128.0,67.6
112,Metropolitana,13.0,La Reina,13113.0,100252.0,24.0,26.0,30.0,35.0,44.0,52.0,54.0,56.0,59.0,62.0,65.0,64.8
113,Metropolitana,13.0,Lampa,13302.0,126898.0,10.0,10.0,13.0,14.0,18.0,26.0,37.0,41.0,45.0,48.0,58.0,45.7
114,Metropolitana,13.0,Las Condes,13114.0,330759.0,181.0,208.0,224.0,258.0,266.0,281.0,296.0,306.0,320.0,326.0,346.0,104.6
