ID,Nombre Español,Nombre Ingles,"WORLDM_Country,Other",ECDC_countriesAndTerritories,OURWORLD_Entity,JHONH_Country/Region,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING,deaths,casesECDC,deathsECDC,confirmadoOURWORLD,muertosOURWORLD,confirmadoJHON,muertosJHON,recuperadosJHON,activosJHON,confirmadoEarly,muertosEarly
43,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Estado Soberanos,Colombia,República de Colombia,República presidencialista,Bogotá,América,https://www.google.com/maps/place/Colombia,https://es.wikipedia.org/wiki/Colombia,https://commons.wikimedia.org/wiki/File:Colombia_in_its_region.svg#/media/File:Colombia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Colombia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Colombia&FORM=HDRSC4,14.0,798.0,14.0,1161.0,19.0,1161.0,19.0,55.0,1087.0,1065.0,17.0
44,Comoras,Burundi,Comoros,Burundi,Burundi,Burundi,Burundi,Estado Soberanos,Comoras,Unión de las Comoras,República presidencialista,Moroni,África,https://www.google.com/maps/place/Comoras,https://es.wikipedia.org/wiki/Comoras,https://commons.wikimedia.org/wiki/File:Burundi_in_its_region.svg#/media/File:Burundi_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Burundi&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Burundi&FORM=HDRSC4,,,,3.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0
45,Congo,"Congo, Republic of the",Congo,Congo,Congo,Congo (Brazzaville),Congo,Estado Soberanos,Congo,República del Congo,República semipresidencialista,Brazzaville,África,https://www.google.com/maps/place/Congo,https://es.wikipedia.org/wiki/Congo,"https://commons.wikimedia.org/wiki/File:Congo, Republic of the_in_its_region.svg#/media/File:Congo, Republic of the_in_its_region.svg","https://www.bing.com/news/search?q=covid-19 + coronavirus +Congo, Republic of the&FORM=HDRSC4","https://www.bing.com/videos/search?q=covid-19 + coronavirus +Congo, Republic of the&FORM=HDRSC4",0.0,19.0,0.0,41.0,3.0,22.0,2.0,2.0,18.0,22.0,2.0
46,República Democrática del Congo,"Congo, Democratic Republic of the",DRC,Democratic_Republic_of_the_Congo,Democratic Republic of Congo,Congo (Kinshasa),"Congo, Democratic Republic of the",Estado Soberanos,República Democrática del Congo,República Democrática del Congo,República semipresidencialista,Kinsasa,África,https://www.google.com/maps/place/República Democrática del Congo,https://es.wikipedia.org/wiki/República Democrática del Congo,"https://commons.wikimedia.org/wiki/File:Congo, Democratic Republic of the_in_its_region.svg#/media/File:Congo, Democratic Republic of the_in_its_region.svg","https://www.bing.com/news/search?q=covid-19 + coronavirus +Congo, Democratic Republic of the&FORM=HDRSC4","https://www.bing.com/videos/search?q=covid-19 + coronavirus +Congo, Democratic Republic of the&FORM=HDRSC4",8.0,98.0,8.0,123.0,11.0,134.0,13.0,3.0,118.0,,
47,Corea del Norte,"Korea, North","Korea, North","Korea, North","Korea, North","Korea, North","Korea, North",Estado Soberanos,Corea del Norte,República Popular Democrática de Corea,Estado socialista,Pionyang,Asia,https://www.google.com/maps/place/Corea del Norte,https://es.wikipedia.org/wiki/Corea del Norte,"https://commons.wikimedia.org/wiki/File:Korea, North_in_its_region.svg#/media/File:Korea, North_in_its_region.svg","https://www.bing.com/news/search?q=covid-19 + coronavirus +Korea, North&FORM=HDRSC4","https://www.bing.com/videos/search?q=covid-19 + coronavirus +Korea, North&FORM=HDRSC4",,,,,,,,,,,
48,Corea del Sur,"Korea, South",S. Korea,South_Korea,South Korea,"Korea, South",South Korea,Estado Soberanos,Corea del Sur,República de Corea,República presidencialista,Seúl,Asia,https://www.google.com/maps/place/Corea del Sur,https://es.wikipedia.org/wiki/Corea del Sur,"https://commons.wikimedia.org/wiki/File:Korea, South_in_its_region.svg#/media/File:Korea, South_in_its_region.svg","https://www.bing.com/news/search?q=covid-19 + coronavirus +Korea, South&FORM=HDRSC4","https://www.bing.com/videos/search?q=covid-19 + coronavirus +Korea, South&FORM=HDRSC4",163.0,9786.0,163.0,10062.0,174.0,9976.0,169.0,5828.0,3979.0,9976.0,169.0
49,Costa de Marfil,Ivory Coast,Ivory Coast,Cote_dIvoire,Cote d'Ivoire,Cote d'Ivoire,C?te d'Ivoire,Estado Soberanos,Costa de Marfil,República de Costa de Marfil,República presidencialista,Yamusukro​,África,https://www.google.com/maps/place/Costa de Marfil,https://es.wikipedia.org/wiki/Costa de Marfil,https://commons.wikimedia.org/wiki/File:Ivory Coast_in_its_region.svg#/media/File:Ivory Coast_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ivory Coast&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ivory Coast&FORM=HDRSC4,1.0,168.0,1.0,194.0,1.0,194.0,1.0,15.0,178.0,190.0,1.0
50,Costa Rica,Costa Rica,Costa Rica,Costa_Rica,Costa Rica,Costa Rica,Costa Rica,Estado Soberanos,Costa Rica,República de Costa Rica,República presidencialista,San José,América,https://www.google.com/maps/place/Costa Rica,https://es.wikipedia.org/wiki/Costa Rica,https://commons.wikimedia.org/wiki/File:Costa Rica_in_its_region.svg#/media/File:Costa Rica_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Costa Rica&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Costa Rica&FORM=HDRSC4,2.0,330.0,2.0,396.0,2.0,396.0,2.0,6.0,388.0,375.0,2.0
51,Croacia,Croatia,Croatia,Croatia,Croatia,Croatia,Croatia,Estado Soberanos,Croacia,República de Croacia,República parlamentaria,Zagreb,Europa,https://www.google.com/maps/place/Croacia,https://es.wikipedia.org/wiki/Croacia,https://commons.wikimedia.org/wiki/File:Croatia_in_its_region.svg#/media/File:Croatia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Croatia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Croatia&FORM=HDRSC4,6.0,790.0,6.0,1011.0,7.0,1011.0,7.0,88.0,916.0,1011.0,7.0
52,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Estado Soberanos,Cuba,República de Cuba,Estado socialista unipartidista,La Habana,América,https://www.google.com/maps/place/Cuba,https://es.wikipedia.org/wiki/Cuba,https://commons.wikimedia.org/wiki/File:Cuba_in_its_region.svg#/media/File:Cuba_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cuba&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cuba&FORM=HDRSC4,4.0,170.0,4.0,233.0,6.0,233.0,6.0,13.0,214.0,212.0,6.0
53,Dinamarca,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,País constituyente Autónomo,Dinamarca,Reino de Dinamarca,Monarquía parlamentaria,Copenhague,Europa,https://www.google.com/maps/place/Dinamarca,https://es.wikipedia.org/wiki/Dinamarca,https://commons.wikimedia.org/wiki/File:Denmark_in_its_region.svg#/media/File:Denmark_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Denmark&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Denmark&FORM=HDRSC4,77.0,2577.0,77.0,3386.0,123.0,3573.0,123.0,1172.0,2278.0,3355.0,123.0
54,Dominica,Dominica,Dominica,Dominica,Dominica,Dominica,Dominica,Estado Soberanos,Dominica,Mancomunidad de Dominica,Monarquía constitucional,Roseau,América,https://www.google.com/maps/place/Dominica,https://es.wikipedia.org/wiki/Dominica,https://commons.wikimedia.org/wiki/File:Dominica_in_its_region.svg#/media/File:Dominica_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Dominica&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Dominica&FORM=HDRSC4,0.0,11.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,12.0,0.0
55,República Dominicana,Dominican Republic,Dominican Republic,Dominican_Republic,Dominican Republic,Dominican Republic,Dominican Republic,Estado Soberanos,República Dominicana,República Dominicana,República presidencialista,Santo Domingo,América,https://www.google.com/maps/place/República Dominicana,https://es.wikipedia.org/wiki/República Dominicana,https://commons.wikimedia.org/wiki/File:Dominican Republic_in_its_region.svg#/media/File:Dominican Republic_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Dominican Republic&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Dominican Republic&FORM=HDRSC4,42.0,901.0,42.0,1380.0,60.0,1380.0,60.0,16.0,1304.0,1284.0,57.0
56,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Estado Soberanos,Ecuador,República del Ecuador,República presidencialista,Quito,América,https://www.google.com/maps/place/Ecuador,https://es.wikipedia.org/wiki/Ecuador,https://commons.wikimedia.org/wiki/File:Ecuador_in_its_region.svg#/media/File:Ecuador_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ecuador&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ecuador&FORM=HDRSC4,62.0,1966.0,62.0,3163.0,120.0,3163.0,120.0,65.0,2978.0,2758.0,97.0
57,Egipto,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Estado Soberanos,Egipto,República Árabe de Egipto,República semipresidencialista,El Cairo,África,https://www.google.com/maps/place/Egipto,https://es.wikipedia.org/wiki/Egipto,https://commons.wikimedia.org/wiki/File:Egypt_in_its_region.svg#/media/File:Egypt_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Egypt&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Egypt&FORM=HDRSC4,40.0,609.0,40.0,779.0,52.0,865.0,58.0,201.0,606.0,779.0,52.0
58,El Salvador,El Salvador,El Salvador,El_Salvador,El Salvador,El Salvador,El Salvador,Estado Soberanos,El Salvador,República de El Salvador,República presidencialista,San Salvador,América,https://www.google.com/maps/place/El Salvador,https://es.wikipedia.org/wiki/El Salvador,https://commons.wikimedia.org/wiki/File:El Salvador_in_its_region.svg#/media/File:El Salvador_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +El Salvador&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +El Salvador&FORM=HDRSC4,0.0,32.0,0.0,46.0,2.0,41.0,2.0,0.0,39.0,41.0,2.0
59,Emiratos Árabes Unidos,United Arab Emirates,UAE,United_Arab_Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Estado Soberanos,Emiratos Árabes Unidos,Emiratos Árabes Unidos,Monarquía constitucional electiva,Abu Dabi,Asia,https://www.google.com/maps/place/Emiratos Árabes Unidos,https://es.wikipedia.org/wiki/Emiratos Árabes Unidos,https://commons.wikimedia.org/wiki/File:United Arab Emirates_in_its_region.svg#/media/File:United Arab Emirates_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +United Arab Emirates&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +United Arab Emirates&FORM=HDRSC4,5.0,611.0,5.0,1024.0,8.0,1024.0,8.0,96.0,920.0,814.0,8.0
60,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Estado Soberanos,Eritrea,Estado de Eritrea,República unipartidista,Asmara,África,https://www.google.com/maps/place/Eritrea,https://es.wikipedia.org/wiki/Eritrea,https://commons.wikimedia.org/wiki/File:Eritrea_in_its_region.svg#/media/File:Eritrea_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Eritrea&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Eritrea&FORM=HDRSC4,0.0,12.0,0.0,22.0,0.0,22.0,0.0,0.0,22.0,18.0,0.0
61,Eslovaquia,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,Estado Soberanos,Eslovaquia,República Eslovaca,República parlamentaria,Bratislava,Europa,https://www.google.com/maps/place/Eslovaquia,https://es.wikipedia.org/wiki/Eslovaquia,https://commons.wikimedia.org/wiki/File:Slovakia_in_its_region.svg#/media/File:Slovakia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Slovakia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Slovakia&FORM=HDRSC4,0.0,336.0,0.0,426.0,0.0,426.0,1.0,5.0,420.0,423.0,1.0
62,Eslovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Estado Soberanos,Eslovenia,República de Eslovenia,República parlamentaria,Liubliana,Europa,https://www.google.com/maps/place/Eslovenia,https://es.wikipedia.org/wiki/Eslovenia,https://commons.wikimedia.org/wiki/File:Slovenia_in_its_region.svg#/media/File:Slovenia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Slovenia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Slovenia&FORM=HDRSC4,11.0,763.0,11.0,897.0,16.0,897.0,17.0,70.0,810.0,881.0,17.0
63,España,Spain,Spain,Spain,Spain,Spain,Spain,Estado Soberanos,España,Reino de España,Monarquía parlamentaria,Madrid,Europa,https://www.google.com/maps/place/España,https://es.wikipedia.org/wiki/España,https://commons.wikimedia.org/wiki/File:Spain_in_its_region.svg#/media/File:Spain_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Spain&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Spain&FORM=HDRSC4,7340.0,85195.0,7340.0,110238.0,10003.0,112065.0,10348.0,26743.0,74974.0,108794.0,9935.0
64,Estados Unidos,United States,USA,United_States_of_America,United States,US,United States,Estado Soberanos,Estados Unidos,Estados Unidos de América,República presidencialista,Washington D. C.,América,https://www.google.com/maps/place/Estados Unidos,https://es.wikipedia.org/wiki/Estados Unidos,https://commons.wikimedia.org/wiki/File:United States_in_its_region.svg#/media/File:United States_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +United States&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +United States&FORM=HDRSC4,3170.0,164620.0,3170.0,245540.0,6053.0,243453.0,5926.0,9001.0,0.0,239910.0,5778.0
65,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estado Soberanos,Estonia,República de Estonia,República parlamentaria,Tallin,Europa,https://www.google.com/maps/place/Estonia,https://es.wikipedia.org/wiki/Estonia,https://commons.wikimedia.org/wiki/File:Estonia_in_its_region.svg#/media/File:Estonia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Estonia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Estonia&FORM=HDRSC4,3.0,715.0,3.0,858.0,11.0,858.0,11.0,45.0,802.0,860.0,11.0
66,Etiopía,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Estado Soberanos,Etiopía,República Democrática Federal de Etiopía,República parlamentaria,Adís Abeba,África,https://www.google.com/maps/place/Etiopía,https://es.wikipedia.org/wiki/Etiopía,https://commons.wikimedia.org/wiki/File:Ethiopia_in_its_region.svg#/media/File:Ethiopia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ethiopia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ethiopia&FORM=HDRSC4,0.0,23.0,0.0,29.0,0.0,29.0,0.0,3.0,26.0,29.0,0.0
67,Filipinas,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Estado Soberanos,Filipinas,República de Filipinas,República presidencialista,Manila,Asia,https://www.google.com/maps/place/Filipinas,https://es.wikipedia.org/wiki/Filipinas,https://commons.wikimedia.org/wiki/File:Philippines_in_its_region.svg#/media/File:Philippines_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Philippines&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Philippines&FORM=HDRSC4,88.0,2084.0,88.0,2633.0,107.0,2633.0,107.0,51.0,2475.0,2633.0,107.0
68,Finlandia,Finland,Finland,Finland,Finland,Finland,Finland,Estado Soberanos,Finlandia,República de Finlandia,República parlamentaria,Helsinki,Europa,https://www.google.com/maps/place/Finlandia,https://es.wikipedia.org/wiki/Finlandia,https://commons.wikimedia.org/wiki/File:Finland_in_its_region.svg#/media/File:Finland_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Finland&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Finland&FORM=HDRSC4,13.0,1313.0,13.0,1518.0,19.0,1518.0,19.0,300.0,1199.0,1518.0,17.0
69,Fiyi,Fiji,Fiji,Fiji,Fiji,Fiji,Fiji,Estado Soberanos,Fiyi,República de Fiyi,República parlamentaria,Suva,Oceanía,https://www.google.com/maps/place/Fiyi,https://es.wikipedia.org/wiki/Fiyi,https://commons.wikimedia.org/wiki/File:Fiji_in_its_region.svg#/media/File:Fiji_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Fiji&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Fiji&FORM=HDRSC4,0.0,5.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0
70,Francia,France,France,France,France,France,France,Estado Soberanos,Francia,República Francesa,República semipresidencialista,París,Europa,https://www.google.com/maps/place/Francia,https://es.wikipedia.org/wiki/Francia,https://commons.wikimedia.org/wiki/File:France_in_its_region.svg#/media/File:France_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +France&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +France&FORM=HDRSC4,3024.0,44550.0,3024.0,59105.0,4503.0,59929.0,5398.0,12548.0,41983.0,59105.0,4495.0
71,Gabón,Gabon,Gabon,Gambia,Gabon,Gabon,Gabon,Estado Soberanos,Gabón,República Gabonesa,República presidencialista,Libreville,África,https://www.google.com/maps/place/Gabón,https://es.wikipedia.org/wiki/Gabón,https://commons.wikimedia.org/wiki/File:Gabon_in_its_region.svg#/media/File:Gabon_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Gabon&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Gabon&FORM=HDRSC4,1.0,4.0,1.0,18.0,1.0,21.0,1.0,0.0,20.0,18.0,1.0
72,Gambia,Gambia,Gambia,Georgia,Gambia,Gambia,Gambia,Estado Soberanos,Gambia,República del Gambia,República presidencialista,Banjul,África,https://www.google.com/maps/place/Gambia,https://es.wikipedia.org/wiki/Gambia,https://commons.wikimedia.org/wiki/File:Gambia_in_its_region.svg#/media/File:Gambia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Gambia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Gambia&FORM=HDRSC4,0.0,98.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0
73,Georgia,Georgia,Georgia,Germany,Georgia,Georgia,Georgia,Estado Soberanos,Georgia,Georgia,República semipresidencialista,Tiflis​,Europa-Asia,https://www.google.com/maps/place/Georgia,https://es.wikipedia.org/wiki/Georgia,https://commons.wikimedia.org/wiki/File:Georgia_in_its_region.svg#/media/File:Georgia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Georgia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Georgia&FORM=HDRSC4,583.0,61913.0,583.0,121.0,0.0,134.0,0.0,26.0,108.0,130.0,0.0
74,Ghana,Ghana,Ghana,Gibraltar,Ghana,Ghana,Ghana,Estado Soberanos,Ghana,República de Ghana,República presidencialista,Acra,África,https://www.google.com/maps/place/Ghana,https://es.wikipedia.org/wiki/Ghana,https://commons.wikimedia.org/wiki/File:Ghana_in_its_region.svg#/media/File:Ghana_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ghana&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ghana&FORM=HDRSC4,0.0,69.0,0.0,204.0,5.0,204.0,5.0,31.0,168.0,195.0,5.0
75,Granada,Grenada,Grenada,Grenada,Grenada,Grenada,Grenada,Estado Soberanos,Granada,Granada,Monarquía constitucional,Saint George,América,https://www.google.com/maps/place/Granada,https://es.wikipedia.org/wiki/Granada,https://commons.wikimedia.org/wiki/File:Grenada_in_its_region.svg#/media/File:Grenada_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Grenada&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Grenada&FORM=HDRSC4,0.0,9.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
76,Grecia,Greece,Greece,Greenland,Greece,Greece,Greece,Estado Soberanos,Grecia,República Helénica,República parlamentaria,Atenas,Europa,https://www.google.com/maps/place/Grecia,https://es.wikipedia.org/wiki/Grecia,https://commons.wikimedia.org/wiki/File:Greece_in_its_region.svg#/media/File:Greece_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Greece&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Greece&FORM=HDRSC4,0.0,10.0,0.0,1514.0,53.0,1544.0,53.0,61.0,1430.0,1415.0,52.0
77,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Estado Soberanos,Guatemala,República de Guatemala,República presidencialista,Ciudad de Guatemala,América,https://www.google.com/maps/place/Guatemala,https://es.wikipedia.org/wiki/Guatemala,https://commons.wikimedia.org/wiki/File:Guatemala_in_its_region.svg#/media/File:Guatemala_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guatemala&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guatemala&FORM=HDRSC4,1.0,36.0,1.0,47.0,1.0,47.0,1.0,12.0,34.0,46.0,1.0
78,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Estado Soberanos,Guinea,República de Guinea,República presidencialista,Conakri,África,https://www.google.com/maps/place/Guinea,https://es.wikipedia.org/wiki/Guinea,https://commons.wikimedia.org/wiki/File:Guinea_in_its_region.svg#/media/File:Guinea_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guinea&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guinea&FORM=HDRSC4,0.0,16.0,0.0,52.0,0.0,52.0,0.0,0.0,52.0,30.0,0.0
79,Guinea-Bisáu,Guinea-Bissau,Guinea-Bissau,Guinea_Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Estado Soberanos,Guinea-Bisáu,República de Guinea-Bisáu,República semipresidencialista,Bisáu,África,https://www.google.com/maps/place/Guinea-Bisáu,https://es.wikipedia.org/wiki/Guinea-Bisáu,https://commons.wikimedia.org/wiki/File:Guinea-Bissau_in_its_region.svg#/media/File:Guinea-Bissau_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guinea-Bissau&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guinea-Bissau&FORM=HDRSC4,0.0,2.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,9.0,0.0
80,Guinea Ecuatorial,Equatorial Guinea,Equatorial Guinea,Equatorial_Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Estado Soberanos,Guinea Ecuatorial,República de Guinea Ecuatorial,República presidencialista,Malabo,África,https://www.google.com/maps/place/Guinea Ecuatorial,https://es.wikipedia.org/wiki/Guinea Ecuatorial,https://commons.wikimedia.org/wiki/File:Equatorial Guinea_in_its_region.svg#/media/File:Equatorial Guinea_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Equatorial Guinea&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Equatorial Guinea&FORM=HDRSC4,0.0,14.0,0.0,15.0,0.0,15.0,0.0,1.0,14.0,15.0,0.0
81,Guyana,Guyana,Guyana,Guyana,Guyana,Guyana,Guyana,Estado Soberanos,Guyana,República Cooperativa de Guyana,República presidencialista,Georgetown,América,https://www.google.com/maps/place/Guyana,https://es.wikipedia.org/wiki/Guyana,https://commons.wikimedia.org/wiki/File:Guyana_in_its_region.svg#/media/File:Guyana_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guyana&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guyana&FORM=HDRSC4,1.0,8.0,1.0,19.0,4.0,19.0,4.0,0.0,15.0,19.0,4.0
82,Haití,Haiti,Haiti,Haiti,Haiti,Haiti,Haiti,Estado Soberanos,Haití,República de Haití,República semipresidencialista,Puerto Príncipe,América,https://www.google.com/maps/place/Haití,https://es.wikipedia.org/wiki/Haití,https://commons.wikimedia.org/wiki/File:Haiti_in_its_region.svg#/media/File:Haiti_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Haiti&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Haiti&FORM=HDRSC4,0.0,15.0,0.0,18.0,0.0,16.0,0.0,1.0,15.0,16.0,0.0
83,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Estado Soberanos,Honduras,República de Honduras,República presidencialista,Tegucigalpa,América,https://www.google.com/maps/place/Honduras,https://es.wikipedia.org/wiki/Honduras,https://commons.wikimedia.org/wiki/File:Honduras_in_its_region.svg#/media/File:Honduras_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Honduras&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Honduras&FORM=HDRSC4,7.0,141.0,7.0,222.0,15.0,219.0,14.0,3.0,202.0,219.0,14.0
84,Hungría,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Estado Soberanos,Hungría,Hungría,República parlamentaria,Budapest,Europa,https://www.google.com/maps/place/Hungría,https://es.wikipedia.org/wiki/Hungría,https://commons.wikimedia.org/wiki/File:Hungary_in_its_region.svg#/media/File:Hungary_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Hungary&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Hungary&FORM=HDRSC4,15.0,447.0,15.0,585.0,21.0,585.0,21.0,42.0,522.0,585.0,21.0
85,India,India,India,India,India,India,India,Estado Soberanos,India,República de la India,República parlamentaria,Nueva Delhi,Asia,https://www.google.com/maps/place/India,https://es.wikipedia.org/wiki/India,https://commons.wikimedia.org/wiki/File:India_in_its_region.svg#/media/File:India_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +India&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +India&FORM=HDRSC4,32.0,1251.0,32.0,2301.0,56.0,2543.0,72.0,191.0,2280.0,1860.0,53.0
86,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Estado Soberanos,Indonesia,República de Indonesia,República presidencialista,Yakarta,Asia,https://www.google.com/maps/place/Indonesia,https://es.wikipedia.org/wiki/Indonesia,https://commons.wikimedia.org/wiki/File:Indonesia_in_its_region.svg#/media/File:Indonesia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Indonesia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Indonesia&FORM=HDRSC4,122.0,1414.0,122.0,1790.0,170.0,1790.0,170.0,112.0,1508.0,1788.0,168.0
