Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados,Fecha
O’Higgins,6,Navidad,6205,6904.0,0.0,30-03-2020
O’Higgins,6,Olivar,6111,14624.0,0.0,30-03-2020
O’Higgins,6,Palmilla,6306,13299.0,0.0,30-03-2020
O’Higgins,6,Paredones,6206,6349.0,0.0,30-03-2020
O’Higgins,6,Peralillo,6307,11848.0,0.0,30-03-2020
O’Higgins,6,Peumo,6112,14952.0,0.0,30-03-2020
O’Higgins,6,Pichidegua,6113,20743.0,0.0,30-03-2020
O’Higgins,6,Pichilemu,6201,17882.0,0.0,30-03-2020
O’Higgins,6,Placilla,6308,9164.0,0.0,30-03-2020
O’Higgins,6,Pumanque,6309,3531.0,0.0,30-03-2020
O’Higgins,6,Quinta de Tilcoco,6114,13877.0,0.0,30-03-2020
O’Higgins,6,Rancagua,6101,265211.0,7.0,30-03-2020
O’Higgins,6,Rengo,6115,63710.0,0.0,30-03-2020
O’Higgins,6,Requinoa,6116,30371.0,0.0,30-03-2020
O’Higgins,6,San Fernando,6301,78642.0,0.0,30-03-2020
O’Higgins,6,San Vicente,6117,50617.0,0.0,30-03-2020
O’Higgins,6,Santa Cruz,6310,41096.0,0.0,30-03-2020
Maule,7,Cauquenes,7201,44143.0,0.0,30-03-2020
Maule,7,Chanco,7202,9331.0,0.0,30-03-2020
Maule,7,Colbun,7402,22565.0,0.0,30-03-2020
Maule,7,Constitucion,7102,50348.0,0.0,30-03-2020
Maule,7,Curepto,7103,9426.0,0.0,30-03-2020
Maule,7,Curico,7301,163626.0,6.0,30-03-2020
Maule,7,Empedrado,7104,4206.0,0.0,30-03-2020
Maule,7,Hualane,7302,10222.0,0.0,30-03-2020
Maule,7,Licanten,7303,6989.0,0.0,30-03-2020
Maule,7,Linares,7401,101073.0,4.0,30-03-2020
Maule,7,Longavi,7403,32810.0,0.0,30-03-2020
Maule,7,Maule,7105,60000.0,0.0,30-03-2020
Maule,7,Molina,7304,49800.0,0.0,30-03-2020
Maule,7,Parral,7404,44544.0,4.0,30-03-2020
Maule,7,Pelarco,7106,9083.0,0.0,30-03-2020
Maule,7,Pelluhue,7203,8092.0,0.0,30-03-2020
Maule,7,Pencahue,7107,8601.0,0.0,30-03-2020
Maule,7,Rauco,7305,11248.0,0.0,30-03-2020
Maule,7,Retiro,7405,21071.0,0.0,30-03-2020
Maule,7,Rio Claro,7108,14753.0,0.0,30-03-2020
Maule,7,Romeral,7306,16170.0,0.0,30-03-2020
Maule,7,Sagrada Familia,7307,19469.0,0.0,30-03-2020
Maule,7,San Clemente,7109,46292.0,0.0,30-03-2020
Maule,7,San Javier,7406,49451.0,0.0,30-03-2020
Maule,7,San Rafael,7110,9959.0,0.0,30-03-2020
Maule,7,Talca,7101,236724.0,34.0,30-03-2020
Maule,7,Teno,7308,30850.0,0.0,30-03-2020
Maule,7,Vichuquen,7309,4381.0,0.0,30-03-2020
Maule,7,Villa Alegre,7407,17512.0,0.0,30-03-2020
Maule,7,Yerbas Buenas,7408,19200.0,0.0,30-03-2020
Ñuble,16,Bulnes,16102,22607.0,12.0,30-03-2020
Ñuble,16,Chillan,16101,198624.0,114.0,30-03-2020
Ñuble,16,Chillan Viejo,16103,33827.0,13.0,30-03-2020
Ñuble,16,Cobquecura,16202,5275.0,0.0,30-03-2020
Ñuble,16,Coelemu,16203,16845.0,0.0,30-03-2020
Ñuble,16,Coihueco,16302,28375.0,0.0,30-03-2020
Ñuble,16,El Carmen,16104,12334.0,0.0,30-03-2020
Ñuble,16,Ninhue,16204,5414.0,0.0,30-03-2020
Ñuble,16,Niquen,16303,11567.0,0.0,30-03-2020
Ñuble,16,Pemuco,16105,8639.0,0.0,30-03-2020
Ñuble,16,Pinto,16106,11880.0,0.0,30-03-2020
Ñuble,16,Portezuelo,16205,4940.0,0.0,30-03-2020
Ñuble,16,Quillon,16107,18777.0,4.0,30-03-2020
Ñuble,16,Quirihue,16201,12192.0,0.0,30-03-2020
Ñuble,16,Ranquil,16206,6261.0,0.0,30-03-2020
Ñuble,16,San Carlos,16301,56252.0,8.0,30-03-2020
Ñuble,16,San Fabian,16304,4654.0,0.0,30-03-2020
Ñuble,16,San Ignacio,16108,16624.0,0.0,30-03-2020
Ñuble,16,San Nicolas,16305,12172.0,0.0,30-03-2020
Ñuble,16,Treguaco,16207,5696.0,0.0,30-03-2020
Ñuble,16,Yungay,16109,18596.0,0.0,30-03-2020
Biobío,8,Alto Biobio,8314,6775.0,0.0,30-03-2020
Biobío,8,Antuco,8302,4306.0,0.0,30-03-2020
Biobío,8,Arauco,8202,38679.0,0.0,30-03-2020
Biobío,8,Cabrero,8303,30725.0,0.0,30-03-2020
Biobío,8,Canete,8203,37003.0,0.0,30-03-2020
Biobío,8,Chiguayante,8103,91180.0,6.0,30-03-2020
Biobío,8,Concepcion,8101,238092.0,28.0,30-03-2020
Biobío,8,Contulmo,8204,6330.0,0.0,30-03-2020
Biobío,8,Coronel,8102,125829.0,0.0,30-03-2020
Biobío,8,Curanilahue,8205,33892.0,0.0,30-03-2020
