Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Valparaiso,5.0,Concon,5103.0,45889.0,-,-,7,7,-,-,6,7,15.3
Valparaiso,5.0,El Quisco,5604.0,17742.0,-,-,-,-,-,-,3,4,22.5
Valparaiso,5.0,El Tabo,5605.0,14338.0,-,-,-,-,-,-,2,3,20.9
Valparaiso,5.0,Hijuelas,5503.0,19099.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,Isla de Pascua,5201.0,8277.0,-,5,5,5,5,6,6,6,72.5
Valparaiso,5.0,Juan Fernandez,5104.0,1033.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,La Cruz,5504.0,25321.0,-,-,-,-,-,-,5,5,19.7
Valparaiso,5.0,La Ligua,5401.0,37739.0,-,-,-,-,-,-,2,2,5.3
Valparaiso,5.0,Limache,5802.0,49931.0,-,-,-,4,5,7,8,13,26.0
Valparaiso,5.0,Llaillay,5703.0,26533.0,-,-,-,-,-,-,2,2,7.5
Valparaiso,5.0,Los Andes,5301.0,68093.0,-,-,-,-,6,6,6,7,10.3
Valparaiso,5.0,Nogales,5506.0,23490.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,Olmue,5803.0,19266.0,-,-,-,-,-,-,1,1,5.2
Valparaiso,5.0,Panquehue,5704.0,7633.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,Papudo,5403.0,6201.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,Petorca,5404.0,10558.0,-,-,-,5,4,5,6,6,56.8
Valparaiso,5.0,Puchuncavi,5105.0,20071.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,Putaendo,5705.0,17645.0,-,-,-,-,-,-,1,2,11.3
Valparaiso,5.0,Quillota,5501.0,97572.0,6,7,9,9,13,13,16,18,18.4
Valparaiso,5.0,Quilpue,5801.0,167085.0,11,10,11,12,15,18,20,21,12.6
Valparaiso,5.0,Quintero,5107.0,36135.0,-,-,-,-,-,4,5,4,11.1
Valparaiso,5.0,Rinconada,5303.0,11263.0,-,-,-,-,-,-,2,2,17.8
Valparaiso,5.0,San Antonio,5601.0,96761.0,-,4,8,9,9,13,17,19,19.6
Valparaiso,5.0,San Esteban,5304.0,20643.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,San Felipe,5701.0,83494.0,-,-,5,5,6,6,6,6,7.2
Valparaiso,5.0,Santa Maria,5706.0,16367.0,-,-,-,-,-,-,2,2,12.2
Valparaiso,5.0,Santo Domingo,5606.0,11934.0,,-,-,-,5,5,5,10,83.8
Valparaiso,5.0,Valparaiso,5101.0,315732.0,16,26,23,26,36,39,44,45,14.3
Valparaiso,5.0,Villa Alemana,5804.0,139310.0,6,8,11,11,12,12,12,12,8.6
Valparaiso,5.0,Vina del Mar,5109.0,361371.0,29,38,47,53,66,69,72,75,20.8
Valparaiso,5.0,Zapallar,5405.0,7994.0,-,0,-,-,-,-,-,-,0.0
Valparaiso,5.0,Total,,1960170.0,102,136,176,198,225,241,273,299,15.3
,,,,,,,,,,,,,
Metropolitana,13.0,Alhue,13502.0,7405.0,-,-,-,-,-,-,-,-,0.0
Metropolitana,13.0,Buin,13402.0,109641.0,7,8,14,20,20,29,36,40,36.5
Metropolitana,13.0,Calera de Tango,13403.0,28525.0,6,7,7,7,8,8,10,10,35.1
Metropolitana,13.0,Cerrillos,13102.0,88956.0,-,4,4,5,11,21,29,39,43.8
Metropolitana,13.0,Cerro Navia,13103.0,142465.0,19,21,26,31,36,42,57,65,45.6
Metropolitana,13.0,Colina,13301.0,180353.0,32,39,47,50,62,66,74,77,42.7
Metropolitana,13.0,Conchali,13104.0,139195.0,14,18,22,32,38,47,52,56,40.2
Metropolitana,13.0,Curacavi,13503.0,36430.0,5,5,5,8,9,10,13,14,38.4
Metropolitana,13.0,El Bosque,13105.0,172000.0,18,28,35,37,46,64,83,93,54.1
Metropolitana,13.0,El Monte,13602.0,40014.0,-,-,-,5,7,9,10,10,25.0
Metropolitana,13.0,Estacion Central,13106.0,206792.0,16,22,25,36,41,61,71,89,43.0
Metropolitana,13.0,Huechuraba,13107.0,112528.0,17,19,22,32,35,38,48,53,47.1
Metropolitana,13.0,Independencia,13108.0,142065.0,15,17,22,26,31,37,52,60,42.2
Metropolitana,13.0,Isla de Maipo,13603.0,40171.0,-,-,-,4,7,10,10,11,27.4
Metropolitana,13.0,La Cisterna,13109.0,100434.0,10,12,12,20,26,34,39,45,44.8
Metropolitana,13.0,La Florida,13110.0,402433.0,43,58,67,91,103,126,165,176,43.7
Metropolitana,13.0,La Granja,13111.0,122557.0,5,8,16,24,26,36,46,51,41.6
Metropolitana,13.0,La Pintana,13112.0,189335.0,-,10,13,18,25,39,55,70,37.0
Metropolitana,13.0,La Reina,13113.0,100252.0,24,26,30,35,44,52,54,56,55.9
Metropolitana,13.0,Lampa,13302.0,126898.0,10,10,13,14,18,26,37,41,32.3
Metropolitana,13.0,Las Condes,13114.0,330759.0,181,208,224,258,266,281,296,306,92.5
Metropolitana,13.0,Lo Barnechea,13115.0,124076.0,68,78,85,97,105,110,116,125,100.7
Metropolitana,13.0,Lo Espejo,13116.0,103865.0,4,7,9,15,23,34,48,56,53.9
Metropolitana,13.0,Lo Prado,13117.0,104403.0,14,18,20,25,32,35,43,47,45.0
Metropolitana,13.0,Macul,13118.0,134635.0,10,15,23,34,37,43,49,51,37.9
Metropolitana,13.0,Maipu,13119.0,578605.0,43,55,64,83,106,167,203,241,41.7
Metropolitana,13.0,Maria Pinto,13504.0,14926.0,-,-,-,-,-,-,-,-,0.0
Metropolitana,13.0,Melipilla,13501.0,141612.0,6,8,9,11,12,16,17,19,13.4
Metropolitana,13.0,Nunoa,13120.0,250192.0,67,84,93,107,118,155,171,188,75.1
Metropolitana,13.0,Padre Hurtado,13604.0,74188.0,10,11,14,16,18,20,26,27,36.4
Metropolitana,13.0,Paine,13404.0,82766.0,-,-,-,-,-,7,8,9,10.9
Metropolitana,13.0,Pedro Aguirre Cerda,13121.0,107803.0,7,13,13,16,19,36,54,70,64.9
Metropolitana,13.0,Penaflor,13605.0,101058.0,10,13,13,18,18,20,25,26,25.7
Metropolitana,13.0,Penalolen,13122.0,266798.0,31,46,54,65,78,98,131,137,51.3
Metropolitana,13.0,Pirque,13202.0,30433.0,-,-,-,4,4,9,10,12,39.4
Metropolitana,13.0,Providencia,13123.0,157749.0,82,87,94,104,115,129,136,147,93.2
Metropolitana,13.0,Pudahuel,13124.0,253139.0,17,25,32,44,52,67,78,88,34.8
Metropolitana,13.0,Puente Alto,13201.0,645909.0,45,58,76,119,166,239,322,374,57.9
Metropolitana,13.0,Quilicura,13125.0,254694.0,17,29,33,51,57,79,94,101,39.7
Metropolitana,13.0,Quinta Normal,13126.0,136368.0,21,25,35,41,57,69,84,105,77.0
Metropolitana,13.0,Recoleta,13127.0,190075.0,17,23,32,44,52,61,73,81,42.6
Metropolitana,13.0,Renca,13128.0,160847.0,9,14,18,19,22,28,42,50,31.1
Metropolitana,13.0,San Bernardo,13401.0,334836.0,32,41,53,74,79,117,140,156,46.6
Metropolitana,13.0,San Joaquin,13129.0,103485.0,13,24,28,36,42,52,58,68,65.7
Metropolitana,13.0,San Jose de Maipo,13203.0,18644.0,-,-,-,-,-,4,4,4,21.5
Metropolitana,13.0,San Miguel,13130.0,133059.0,25,32,39,49,56,69,86,97,72.9
Metropolitana,13.0,San Pedro,13505.0,11953.0,-,-,-,-,-,-,-,-,0.0
Metropolitana,13.0,San Ramon,13131.0,86510.0,-,6,9,9,12,18,20,27,31.2
Metropolitana,13.0,Santiago,13101.0,503147.0,127,156,173,234,271,321,375,404,80.3
Metropolitana,13.0,Talagante,13601.0,81838.0,-,5,6,11,14,18,21,24,29.3
Metropolitana,13.0,Tiltil,13303.0,21477.0,-,-,-,-,4,4,4,4,18.6
Metropolitana,13.0,Vitacura,13132.0,96774.0,83,90,100,114,114,119,127,128,132.3
Metropolitana,13.0,Total,,8125072.0,1197,1521,1742,2244,2548,3,3803,4334,53.3
,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,6.0,Chepica,6302.0,15925.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Chimbarongo,6303.0,37696.0,-,-,-,-,-,-,2,4,10.6
Del Libertador General Bernardo O’Higgins,6.0,Codegua,6102.0,14096.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Coinco,6103.0,7831.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Coltauco,6104.0,21263.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Donihue,6105.0,22700.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Graneros,6106.0,36504.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,La Estrella,6202.0,3114.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Las Cabras,6107.0,26749.0,-,-,-,-,-,-,-,1,3.7
Del Libertador General Bernardo O’Higgins,6.0,Litueche,6203.0,6765.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Lolol,6304.0,7289.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Machali,6108.0,59913.0,-,6,7,8,8,8,8,8,13.4
Del Libertador General Bernardo O’Higgins,6.0,Malloa,6109.0,14163.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Marchihue,6204.0,7632.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Mostazal,6110.0,27462.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Nancagua,6305.0,19141.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Navidad,6205.0,6904.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Olivar,6111.0,14624.0,-,-,-,-,-,-,6,7,47.9
Del Libertador General Bernardo O’Higgins,6.0,Palmilla,6306.0,13299.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Paredones,6206.0,6349.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Peralillo,6307.0,11848.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Peumo,6112.0,14952.0,-,-,-,-,-,-,1,1,6.7
Del Libertador General Bernardo O’Higgins,6.0,Pichidegua,6113.0,20743.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pichilemu,6201.0,17882.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Placilla,6308.0,9164.0,-,-,-,-,-,-,1,2,21.8
Del Libertador General Bernardo O’Higgins,6.0,Pumanque,6309.0,3531.0,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,6.0,Quinta de Tilcoco,6114.0,13877.0,-,-,-,-,-,-,3,3,21.6
Del Libertador General Bernardo O’Higgins,6.0,Rancagua,6101.0,265211.0,7,7,9,15,15,15,15,15,5.7
Del Libertador General Bernardo O’Higgins,6.0,Rengo,6115.0,63710.0,-,-,-,-,-,-,1,1,1.6
Del Libertador General Bernardo O’Higgins,6.0,Requinoa,6116.0,30371.0,-,-,-,-,-,-,1,1,3.3
Del Libertador General Bernardo O’Higgins,6.0,San Fernando,6301.0,78642.0,-,4,4,4,4,4,4,5,6.4
Del Libertador General Bernardo O’Higgins,6.0,San Vicente,6117.0,50617.0,-,-,4,4,4,4,4,4,7.9
Del Libertador General Bernardo O’Higgins,6.0,Santa Cruz,6310.0,41096.0,-,0,-,-,-,-,2,2,4.9
Del Libertador General Bernardo O’Higgins,6.0,Total,,991063.0,16,26,33,42,43,44,48,54,5.4
,,,,,,,,,,,,,
Maule,7.0,Cauquenes,7201.0,44143.0,-,-,-,4,4,4,4,4,9.1
Maule,7.0,Chanco,7202.0,9331.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Colbun,7402.0,22565.0,-,4,4,5,5,5,5,5,22.2
Maule,7.0,Constitucion,7102.0,50348.0,-,-,-,-,5,5,5,4,7.9
Maule,7.0,Curepto,7103.0,9426.0,-,-,-,-,-,-,3,3,31.8
Maule,7.0,Curico,7301.0,163626.0,6,8,11,13,13,17,20,23,14.1
Maule,7.0,Empedrado,7104.0,4206.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Hualane,7302.0,10222.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Licanten,7303.0,6989.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Linares,7401.0,101073.0,4,6,10,11,12,13,13,13,12.9
Maule,7.0,Longavi,7403.0,32810.0,-,-,-,-,-,-,2,2,6.1
Maule,7.0,Maule,7105.0,60000.0,-,-,-,-,-,-,4,5,8.3
Maule,7.0,Molina,7304.0,49800.0,-,-,-,-,-,-,3,3,6.0
Maule,7.0,Parral,7404.0,44544.0,4,-,-,-,4,5,6,6,13.5
Maule,7.0,Pelarco,7106.0,9083.0,-,-,-,-,-,-,3,3,33.0
Maule,7.0,Pelluhue,7203.0,8092.0,-,-,-,-,-,-,1,1,12.4
Maule,7.0,Pencahue,7107.0,8601.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Rauco,7305.0,11248.0,-,-,-,-,-,-,2,2,17.8
Maule,7.0,Retiro,7405.0,21071.0,-,-,-,-,-,-,1,1,4.7
Maule,7.0,Rio Claro,7108.0,14753.0,-,-,-,-,-,-,3,3,20.3
Maule,7.0,Romeral,7306.0,16170.0,-,-,-,-,-,-,3,4,24.7
Maule,7.0,Sagrada Familia,7307.0,19469.0,-,-,-,-,-,-,1,1,5.1
Maule,7.0,San Clemente,7109.0,46292.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,San Javier,7406.0,49451.0,-,-,-,7,7,8,8,9,18.2
Maule,7.0,San Rafael,7110.0,9959.0,-,-,-,-,-,-,2,2,20.1
Maule,7.0,Talca,7101.0,236724.0,34,37,42,48,51,51,51,57,24.1
Maule,7.0,Teno,7308.0,30850.0,-,-,-,-,-,-,1,1,3.2
Maule,7.0,Vichuquen,7309.0,4381.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Villa Alegre,7407.0,17512.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Yerbas Buenas,7408.0,19200.0,-,-,-,-,-,-,-,-,0.0
Maule,7.0,Total,,1131939.0,58,71,89,108,119,131,141,152,13.4
,,,,,,,,,,,,,
Nuble,16.0,Bulnes,16102.0,22607.0,12,18,32,36,45,48,48,48,212.3
Nuble,16.0,Chillan,16101.0,198624.0,114,173,240,291,327,342,355,373,187.8
Nuble,16.0,Chillan Viejo,16103.0,33827.0,13,22,26,30,34,40,44,45,133.0
Nuble,16.0,Cobquecura,16202.0,5275.0,-,-,-,-,-,-,-,-,0.0
Nuble,16.0,Coelemu,16203.0,16845.0,-,-,-,-,4,4,4,4,23.7
Nuble,16.0,Coihueco,16302.0,28375.0,-,-,-,6,7,8,11,11,38.8
Nuble,16.0,El Carmen,16104.0,12334.0,-,-,-,-,-,-,3,3,24.3
Nuble,16.0,Ninhue,16204.0,5414.0,-,-,-,-,-,-,2,3,55.4
Nuble,16.0,Niquen,16303.0,11567.0,-,-,-,-,-,-,2,2,17.3
Nuble,16.0,Pemuco,16105.0,8639.0,-,-,-,-,-,-,4,4,46.3
Nuble,16.0,Pinto,16106.0,11880.0,-,-,6,9,10,10,10,10,84.2
Nuble,16.0,Portezuelo,16205.0,4940.0,-,-,-,-,-,-,1,-,0.0
Nuble,16.0,Quillon,16107.0,18777.0,4,7,15,17,22,22,23,23,122.5
Nuble,16.0,Quirihue,16201.0,12192.0,-,-,-,-,4,4,4,2,16.4
Nuble,16.0,Ranquil,16206.0,6261.0,-,-,5,7,9,9,10,9,143.7
Nuble,16.0,San Carlos,16301.0,56252.0,8,13,13,19,28,29,31,31,55.1
Nuble,16.0,San Fabian,16304.0,4654.0,-,5,6,6,6,6,6,6,128.9
Nuble,16.0,San Ignacio,16108.0,16624.0,-,-,-,6,6,6,6,4,24.1
Nuble,16.0,San Nicolas,16305.0,12172.0,-,-,4,10,11,12,12,14,115.0
Nuble,16.0,Treguaco,16207.0,5696.0,-,-,-,-,-,-,-,-,0.0
Nuble,16.0,Yungay,16109.0,18596.0,-,7,10,26,37,38,42,42,225.9
Nuble,16.0,Total,,511551.0,162,259,370,474,561,589,618,634,123.9
,,,,,,,,,,,,,
Biobio,8.0,Alto Biobio,8314.0,6775.0,-,-,-,-,-,-,-,1,14.8
Biobio,8.0,Antuco,8302.0,4306.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Arauco,8202.0,38679.0,-,5,6,6,6,6,6,5,12.9
Biobio,8.0,Cabrero,8303.0,30725.0,-,-,-,-,-,4,7,8,26.0
Biobio,8.0,Canete,8203.0,37003.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Chiguayante,8103.0,91180.0,6,18,26,32,35,40,41,37,40.6
Biobio,8.0,Concepcion,8101.0,238092.0,28,47,53,70,73,81,92,130,54.6
Biobio,8.0,Contulmo,8204.0,6330.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Coronel,8102.0,125829.0,-,11,12,13,18,18,18,15,11.9
Biobio,8.0,Curanilahue,8205.0,33892.0,-,-,-,-,-,-,1,1,3.0
Biobio,8.0,Florida,8104.0,11841.0,-,-,-,-,-,-,2,4,33.8
Biobio,8.0,Hualpen,8112.0,97273.0,-,39,50,67,74,83,93,65,66.8
Biobio,8.0,Hualqui,8105.0,26201.0,-,-,-,7,7,7,8,9,34.3
Biobio,8.0,Laja,8304.0,23873.0,-,-,-,5,5,5,6,7,29.3
Biobio,8.0,Lebu,8201.0,27100.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Los Alamos,8206.0,22524.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Los Angeles,8301.0,218515.0,11,15,12,17,22,22,22,25,11.4
Biobio,8.0,Lota,8106.0,45750.0,-,-,-,-,-,-,1,1,2.2
Biobio,8.0,Mulchen,8305.0,31041.0,-,5,5,5,5,5,5,5,16.1
Biobio,8.0,Nacimiento,8306.0,27944.0,-,-,-,-,4,5,9,10,35.8
Biobio,8.0,Negrete,8307.0,10429.0,-,-,-,-,-,-,2,2,19.2
Biobio,8.0,Penco,8107.0,49865.0,-,-,-,5,5,5,9,11,22.1
Biobio,8.0,Quilaco,8308.0,4179.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Quilleco,8309.0,10032.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,San Pedro de la Paz,8108.0,145906.0,18,50,56,63,71,73,80,75,51.4
Biobio,8.0,San Rosendo,8310.0,3611.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Santa Barbara,8311.0,14592.0,-,-,-,-,-,-,2,3,20.6
Biobio,8.0,Santa Juana,8109.0,14779.0,-,-,-,-,-,-,-,-,0.0
Biobio,8.0,Talcahuano,8110.0,158345.0,-,23,29,36,45,46,56,82,51.8
Biobio,8.0,Tirua,8207.0,11019.0,-,-,-,4,4,4,4,4,36.3
Biobio,8.0,Tome,8111.0,58729.0,4,6,9,25,30,30,37,37,63.0
Biobio,8.0,Tucapel,8312.0,15205.0,,-,-,-,-,-,1,-,0.0
Biobio,8.0,Yumbel,8313.0,22132.0,5,5,5,5,5,5,5,5,22.6
Biobio,8.0,Total,,1663696.0,85,240,302,383,439,474,512,542,32.6
,,,,,,,,,,,,,
La Araucania,9.0,Angol,9201.0,56058.0,7,13,12,15,23,24,28,36,64.2
La Araucania,9.0,Carahue,9102.0,25486.0,-,-,-,-,6,6,18,20,78.5
La Araucania,9.0,Cholchol,9121.0,12341.0,-,-,-,-,-,4,4,4,32.4
La Araucania,9.0,Collipulli,9202.0,26148.0,-,-,-,-,-,-,1,1,3.8
La Araucania,9.0,Cunco,9103.0,18055.0,-,-,-,5,5,5,5,6,33.2
La Araucania,9.0,Curacautin,9203.0,18178.0,-,-,-,-,-,5,5,5,27.5
La Araucania,9.0,Curarrehue,9104.0,7802.0,-,-,-,-,4,4,4,4,51.3
La Araucania,9.0,Ercilla,9204.0,8458.0,-,-,-,-,-,-,3,3,35.5
La Araucania,9.0,Freire,9105.0,25446.0,-,-,5,5,5,5,5,5,19.6
La Araucania,9.0,Galvarino,9106.0,12633.0,-,-,-,-,-,-,2,2,15.8
La Araucania,9.0,Gorbea,9107.0,15148.0,4,6,7,10,10,10,10,10,66.0
La Araucania,9.0,Lautaro,9108.0,40746.0,-,8,10,16,19,19,22,25,61.4
La Araucania,9.0,Loncoche,9109.0,24739.0,-,-,4,4,6,6,6,9,36.4
La Araucania,9.0,Lonquimay,9205.0,11049.0,-,-,-,-,-,-,-,-,0.0
La Araucania,9.0,Los Sauces,9206.0,7517.0,-,-,-,-,-,-,-,-,0.0
La Araucania,9.0,Lumaco,9207.0,10050.0,-,-,-,-,-,-,-,-,0.0
La Araucania,9.0,Melipeuco,9110.0,6265.0,-,-,-,-,-,-,-,-,0.0
La Araucania,9.0,Nueva Imperial,9111.0,33777.0,-,-,11,16,20,22,25,32,94.7
La Araucania,9.0,Padre Las Casas,9112.0,82110.0,9,14,33,44,49,49,49,52,63.3
La Araucania,9.0,Perquenco,9113.0,7223.0,-,-,-,-,-,-,3,3,41.5
La Araucania,9.0,Pitrufquen,9114.0,26096.0,4,6,7,11,12,12,16,18,69.0
La Araucania,9.0,Pucon,9115.0,29782.0,-,-,-,4,5,5,5,6,20.1
La Araucania,9.0,Puren,9208.0,12188.0,-,-,-,-,-,-,2,2,16.4
La Araucania,9.0,Renaico,9209.0,10833.0,-,-,-,-,-,-,2,2,18.5
La Araucania,9.0,Saavedra,9116.0,12793.0,-,-,-,-,-,-,1,-,0.0
La Araucania,9.0,Temuco,9101.0,302931.0,154,225,293,365,407,443,471,506,167.0
